id,nombre,descripcion,unidad_medida,precio_por_unidad
652,Chocolate Fudge Ice Cream,Rich and creamy chocolate fudge ice cream for dessert.,litros,5.99
653,Baking Soda,Essential ingredient for baking and cooking.,m2,0.99
654,Garden Vegetable Chips,"Crispy chips made from assorted garden vegetables, lightly salted.",litro,3.49
655,Almond Flour Pizza Crust,"Low-carb pizza crust made from almond flour, gluten-free.",pulgadas,7.99
656,Pest Control Traps,Non-toxic traps for catching household pests safely.,m2,22.99
657,Coffee Grinder,Burr coffee grinder for fresh ground coffee.,cm,39.99
658,Fitness Mat,Thick and durable mat for workouts and yoga.,cm3,49.99
659,Artisan Pickles,Tangy and crunchy dill pickles.,pulgadas,2.49
660,Chocolate Fudge Ice Cream,Rich and creamy chocolate fudge ice cream for dessert.,cm,5.99
661,Spicy Tuna Rolls,"The perfect seafood snack, ready to eat and delicious.",pulgadas,6.49
662,Customizable Photo Calendar,Personalized calendar with your favorite photos.,m2,19.99
663,Classic Caesar Dressing,Rich and creamy Caesar dressing for salads and wraps.,km,3.49
664,Dog Training Collar,Rechargeable training collar for effective behavior training.,cm3,39.99
665,Vegan Chickpea Salad,"Healthy salad made with chickpeas, vegetables, and a lemon dressing.",pulgadas,3.99
666,Chili Beans (canned),"Canned beans with chili sauce, perfect for chili dishes.",cm,1.69
667,Multi-Layer Food Steamer,Stackable steamers for healthy cooking of vegetables and seafood.,litros,39.99
668,Nail Polish Set,Assorted nail polish set for vibrant nails.,litro,25
669,Apple Cinnamon Breakfast Muffins,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,litro,3.49
670,Patterned Knit Scarf,Add a pop of color with this stylish patterned knit scarf.,m2,25.99
671,Shower Curtain Hooks,Stylish hooks to easily hang shower curtains.,pulgadas,12.99
672,Hand Crank Blender,Manual blender for smoothies and mixing ingredients on the go.,cm3,18.99
673,Almond Milk Yogurt,"Creamy yogurt made from almond milk, vegan-friendly.",cm3,1.99
674,Pleated Midi Dress,"A stylish midi dress with stylish pleats, suitable for any occasion.",cm3,79.99
675,Pumpkin Waffles,Delicious waffles infused with pumpkin and spices.,cm3,4.49
676,Buttermilk Pancakes,Fluffy pancakes with buttermilk flavor.,litro,3.99
677,Roasted Vegetable Medley,A mix of frozen roasted vegetables for an easy side dish.,cm,3.99
678,Grilled Veggie Burgers,Delicious veggie burgers loaded with grilled vegetables.,km,6.29
679,Spinach and Cheese Stuffed Shells,Delicious pasta shells filled with spinach and cheese,km,5.99
680,Microfiber Cleaning Cloth Set,Assorted cloths for cleaning electronics and delicate surfaces.,cm,9.99
681,Flavored Popcorn Mix,Popcorn tossed with sweet or savory flavors for a tasty snack.,cm,2.99
682,Vegetable Curry,A hearty vegetable curry for a quick and satisfying meal.,cm,5.99
683,Vegan Mac & Cheese,Creamy vegan mac and cheese made with cashew cheese.,km,8.99
684,Natural Soy Candles,Eco-friendly soy candles with a variety of scents.,litros,19.99
685,Quinoa and Kale Salad Kit,"Ready-to-eat salad with quinoa and kale, drizzled with vinaigrette.",km,5.29
686,Cotton Tote Bag Set,Reusable tote bags for shopping and eco-friendly living.,km,29.99
687,Sriracha Hot Chili Sauce,Spicy and tangy chili sauce for adding heat to any dish.,cm,2.99
688,Mango Chili Salsa,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",km,4.29
689,Jump Rope with Counter,Durable jump rope with built-in counter for workouts.,cm3,12.99
690,Thai Basil Fried Rice,Fragrant fried rice with authentic Thai basil and veggies.,cm,5.99
691,Electric Wax Warmer,Wax warmer for creating a soothing atmosphere with fragrances.,km,22.99
692,Dried Apricots,"Sweet, chewy dried apricots, great for snacking or baking.",km,3.79
693,Spicy Thai Chili Sauce,A sweet and spicy sauce for dipping or cooking.,m2,3.29
694,Herbed Couscous,Quick-cooking couscous flavored with herbs and spices.,m2,2.49
695,Savory Oatmeal Cups,"Savory oatmeal ready to eat, great for breakfast or a snack.",litros,1.99
696,Pasta Primavera Kit,Quick meal kit with pasta and fresh vegetables.,km,7.49
697,3D Night Light,Color-changing 3D night light for kids' rooms.,cm,19.99
698,Savory Italian Herbs,A blend of dried Italian herbs for cooking.,cm,2.99
699,Frozen Berry Blend,A mix of frozen berries for smoothies or desserts,litro,4.99
700,Mango Chili Salsa,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",km,4.29
701,Coffee Subscription Service,Monthly subscription for freshly roasted coffee delivered to your door.,km,29.99
702,Feta Cheese,"Tangy feta cheese, perfect for salads and sandwiches.",cm,4.99
703,Coconut Oil,Versatile organic coconut oil for cooking and baking.,litros,6.49
704,Interactive Plush Toy,"Soft, cuddly toy that interacts with children.",km,34.99
705,Asian Noodle Salad Kit,A pre-packaged salad kit with noodles and Asian-style dressing.,litros,4.99
706,Electric Skillet,Versatile electric skillet for stir-frying and searing.,m2,49.99
707,Hand Mixer,Compact hand mixer for easy baking.,km,29.99
708,Dark Chocolate Covered Raisins,Satisfy your sweet tooth with these dark chocolate-covered raisins.,m2,3.99
709,Zesty Garlic Hummus,Creamy chickpea dip infused with zesty garlic flavor.,cm3,3.99
710,Mediterranean Flatbread,"Artisan bread topped with olives, feta, and herbs, perfect for sharing.",cm,3.5
711,Pineapple Chunks (canned),Sweet pineapple chunks in syrup.,m2,2.29
712,Fitness Resistance Bands Set,Variety of bands suitable for all fitness levels.,m2,34.99
713,Cranberry Orange Oatmeal,Instant oatmeal flavored with cranberries and orange zest for breakfast.,pulgadas,2.49
714,Organic Apples,Crisp and delicious organic apples.,pulgadas,1.89
715,Decorative Throw Blanket,Soft throw blanket for cozy home decor.,km,39.99
716,Self-Inflating Camping Mattress,Comfortable camping mattress that inflates automatically.,m2,49.99
717,Sliced Ham,"Delicious and fully cooked sliced ham, ready to eat.",cm3,5.49
718,Chocolate Coconut Granola,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",cm3,3.79
719,Vanilla Bean Greek Yogurt,Smooth Greek yogurt infused with vanilla bean flavor.,litros,1.99
720,Stainless Steel BBQ Grill Set,Essential tools for outdoor barbecues including tongs and spatula.,litros,49.99
721,Stuffed Bell Peppers,Bell peppers stuffed with rice and vegetables,pulgadas,5.99
722,Rechargeable Electric Toothbrush,Advanced electric toothbrush for effective cleaning.,litro,49.99
723,Vanilla Ice Cream,"Creamy and rich vanilla ice cream, a classic dessert.",litros,4.99
724,Chopping Board,Reversible bamboo chopping board for food prep.,cm,29.99
725,Egg Noodles,"Wide egg noodles, perfect for casseroles and soups.",cm,2.29
726,Noise Cancelling Ear Muffs,Ear protection for shooting and industrial use.,cm,24.99
727,Golf Polo Shirt,Breathable polo shirt designed for both style and comfort on the greens.,cm,39.99
728,Electric Milk Frother,Handheld frother for creating frothed milk for coffee.,cm,19.99
729,Handmade Wooden Utensil Set,Unique handcrafted utensils for cooking and serving.,km,24.99
730,Beef Tacos,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",m2,5.49
731,Wall-Mounted Spice Rack,Space-saving rack to store and organize spices conveniently.,litros,39.99
732,Maxi Wrap Dress,A flowy maxi dress perfect for both casual and semi-formal occasions.,litros,49.99
733,Rechargeable Battery Organizer,Tidy storage solution for rechargeable batteries.,litros,17.99
734,Organic Baby Carrots,Fresh and crunchy baby carrots ready for snacking.,litros,2.99
735,Magnetic Screen Door,Keep bugs out while allowing fresh air in during summer.,cm3,24.99
736,Classic BBQ Sauce,Smoky and sweet BBQ sauce for grilling and dipping.,pulgadas,2.79
737,Scented Candle Set,Set of soothing scented candles for relaxation and ambiance.,km,24.99
738,Gardening Fairy Figurines,Cute fairy figurines to decorate your garden or potted plants.,m2,14.99
739,Lemon Basil Pasta Sauce,A tangy sauce that combines lemon zest and basil for a refreshing flavor.,cm3,4.99
740,Buffalo Style Cauliflower Bites,"Frozen cauliflower bites coated in spicy buffalo sauce, ready to bake and enjoy as an appetizer.",km,5.49
741,Coffee Subscription Service,Monthly subscription for freshly roasted coffee delivered to your door.,litros,29.99
742,Chocolate Chip Pancake Mix,Easy-to-make pancake mix with chocolate chips included.,litros,3.99
743,Red Lentil Pasta,"Gluten-free pasta made from red lentils, packed with protein.",cm3,3.99
744,Active Racerback Tank,Lightweight and moisture-wicking racerback tank for workouts.,litros,24.99
745,Dark Chocolate Bars,"Rich dark chocolate bars, perfect for a sweet treat.",pulgadas,2.99
746,Personal Blender with Travel Cup,Blender for smoothies with a portable cup.,litro,39.99
747,Herb Seasoned Croutons,Crunchy croutons with a blend of herbs for salads.,cm3,2.99
748,Honey Sriracha Chicken Bites,"Frozen chicken bites coated in a honey sriracha glaze, spicy and sweet.",cm3,7.99
749,Green Smoothie Mix,A convenient powder mix combining greens and fruits for smoothies.,cm3,5.99
750,Vegetarian Chili,"Hearty chili made with beans and vegetables, a savory meal option.",km,3.99
751,LED Desk Lamp with USB Charging Port,Modern lamp featuring a USB port for convenient charging.,km,29.99
752,Portable Laptop Table,Foldable table for working with laptops anywhere.,litro,39.99
753,Avocado Lime Dressing,"Refreshing dressing made with avocado and lime, perfect for salads.",pulgadas,4.29
754,Kitchen Scale,Digital scale for precise cooking measurements.,m2,19.99
755,Electric Milk Frother,Handheld frother for creating frothed milk for coffee.,cm3,19.99
756,Frozen Edamame,"Lightly salted frozen edamame, a protein-packed snack.",km,3.29
757,High-Top Leather Boots,Durable high-top leather boots for the stylish adventurer.,cm3,99.99
758,Brussels Sprouts,"Fresh Brussels sprouts, great for roasting or steaming.",cm3,3.49
759,Classic Cheeseburger Mix,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",litro,5.49
760,Cat Tree,Multi-level cat tree for climbing and scratching.,km,99.99
761,Pet Hair Removal Roller,Lint roller designed specifically for removing pet hair from furniture.,m2,10.99
762,Italian Herbal Seasoning,A fragrant blend of Italian herbs for pasta sauces and marinades.,litro,1.99
763,Wireless Smart Plug,Control home appliances remotely using your smartphone app.,cm,19.99
764,Party Mini Dress,"Eye-catching mini dress with sequins, ideal for party nights out.",m2,69.99
765,Fitness Resistance Bands Kit,Set with various resistance bands for workouts.,m2,29.99
766,Classic Caesar Salad Kit,Everything you need for a fresh and delicious Caesar salad.,cm,4.99
767,Vegetable Broth,Rich vegetable broth for soups and stews.,m2,2.29
768,Italian Sausage and Peppers,A flavorful blend of Italian sausage with sautéed peppers and onions.,cm,8.99
769,Key Finder,Bluetooth-enabled key tracker to find lost items easily.,cm,19.99
770,Warm Wool Sweater,Cozy wool sweater to keep you warm on chilly days.,m2,59.99
771,Waffle Maker,Make delicious waffles with this user-friendly device.,m2,39.99
772,Organic Chia Seeds,Nutritious chia seeds great for smoothies,cm3,7.99
773,Noise Cancelling Ear Muffs,Ear protection for shooting and industrial use.,litros,24.99
774,Cinnamon Raisin Bread,"Sweet bread with cinnamon and raisins, great for breakfast or snacks.",km,3.79
775,Antique Style Clock,Nostalgic clock that adds charm to any room.,cm,39.99
776,Cheddar Cheese Crackers,Crunchy crackers topped with real cheddar cheese flavor.,km,2.29
777,A-Line Skirt,"Classic A-line skirt that flatters every figure, perfect for work or play.",litros,35.99
778,Thai Peanut Noodles,Noodles tossed in a spicy Thai peanut sauce.,km,4.99
779,Car Trash Can,Compact trash can for keeping your car clean.,km,12.99
780,Pasta Maker Machine,Manual pasta maker for creating fresh pasta at home.,litros,59.99
781,Carrot and Celery Sticks,Fresh pre-cut carrot and celery sticks for easy snacking.,litro,2.99
782,Pineapple Salsa,Fresh salsa made with pineapple and spices,litros,4.29
783,Sea Salt Caramel Brownie,Moist brownie topped with sea salt and caramel drizzle.,litros,2.49
784,Kids' Gardening Kit,Complete set designed for children to learn gardening.,pulgadas,24.99
785,Coconut Milk Ice Cream,"Dairy-free ice cream made with coconut milk, creamy and delicious.",litros,6.99
786,Rustic Italian Bread,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",m2,3.59
787,LED Christmas Lights,Eco-friendly LED lights for festive decorations.,litro,29.99
788,DIY Lip Balm Kit,Craft your own lip balms with this complete kit.,km,22.99
789,Spicy Hummus,"Creamy hummus with a kick of spice, great for dipping.",cm3,3.49
790,Caramel Apple Taffy,"Sweet and chewy taffy flavored like caramel apples, great for fall.",cm,1.99
791,Travel Laundry Bag,Compact laundry bag for travel use.,cm3,9.99
792,Gardening Kneeler and Seat,Foldable kneeler that doubles as a seat for gardening convenience.,litro,39.99
793,Organic Blueberries,Fresh organic blueberries perfect for snacking or baking.,km,5.49
794,Peach Green Tea,"Refreshing green tea infused with peach, perfect for a hot day.",m2,3.49
795,Cushion Covers,Set of decorative cushion covers for home decor.,km,35
796,Mini Pretzels,"Crispy mini pretzels, a great snack any time of day.",cm,2.99
797,Garden Tool Set,Complete set of gardening tools for all your needs.,cm3,34.99
798,Sliced Avocado,"Ready-to-eat avocado slices, perfect for tacos.",cm3,2.79
799,Pineapple Coconut Yogurt,Creamy yogurt blended with fresh pineapple and coconut pieces.,pulgadas,4.49
800,Vegan Taco Seasoning,Spice blend for creating flavorful vegan taco filling.,pulgadas,2.49
801,Electric Pressure Cooker,"Multi-function pressure cooker that can sauté, steam, and slow cook.",litros,89.99
802,Portable Dog Water Bottle,Convenient water bottle for pets on the go.,litros,18.99
803,Tomato Paste,"Concentrated tomato paste, great for sauces.",cm3,1.29
804,Biodegradable Trash Bags,Eco-friendly trash bags that break down naturally.,litros,12.99
805,Vegan Taco Seasoning,Spice blend for creating flavorful vegan taco filling.,litros,2.49
806,Ceramic Bakeware Set,Durable ceramic bakeware for casseroles and desserts.,km,49.99
807,Portable Ice Maker,Compact ice maker for creating ice at home or in offices.,pulgadas,199.99
808,Indoor Grill,Electric indoor grill for quick meals.,cm3,59.99
809,Rustic Italian Bread,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",km,3.59
810,Workstation Laptop Stand,Adjustable stand to improve ergonomics while working on a laptop.,m2,49.99
811,Canned Sardines,Savory sardines packed in olive oil.,cm3,3.29
812,Multi-Purpose Marine Rope,"Heavy-duty rope suitable for boating, camping, and general use.",km,19.99
813,Two-Tone Windbreaker,"Stylish two-tone windbreaker, perfect for active days.",m2,59.99
814,Buffalo Sauce,Spicy buffalo sauce ideal for wings or dipping.,pulgadas,2.99
815,Stick Vacuums Cleaner,Cordless vacuum cleaner for quick clean-ups.,litro,129.99
816,Organic Coconut Flakes,Unsweetened coconut flakes for baking and snacking.,litros,3.49
817,Classic Bagels,"Freshly baked bagels, perfect for breakfast or snacks.",litros,2.99
818,Magnetic Chess Set,Portable chess set with magnetic pieces for travel.,cm,19.99
819,Outdoor Adventure Backpack,Durable backpack for hiking or travel.,cm,59.99
820,Savory Pumpkin Soup,Creamy pumpkin soup with spices,cm3,3.89
821,Smartphone Holder for Car,Secure phone mount for your vehicle's dashboard.,litros,14.99
822,Dark Chocolate Covered Almonds,Roasted almonds dipped in rich dark chocolate.,cm,7.19
823,Organic Quinoa Chips,"Light and crispy chips made from quinoa, ideal for dipping.",pulgadas,3.99
824,Wireless Gaming Headset,Comfortable headset with surround sound for immersive gaming.,litro,89.99
825,Golf Putting Green,Indoor putting green for practicing your putting skills.,litros,79.99
826,Microwave Popcorn Maker,Healthier way to make popcorn in the microwave without oil.,m2,19.99
827,Vegetable Quinoa Bowl,"A frozen meal featuring quinoa and mixed vegetables, ready to heat and eat.",cm3,5.99
828,Kids' Dinosaur-Themed Lunchbox,Fun lunchbox for kids with a sturdy design.,m2,19.99
829,Camera Lens Cleaning Kit,Complete cleaning kit for camera lenses.,m2,14.99
830,Digital Food Scale,Precision digital scale for accurate cooking measurements.,litros,22.99
831,Granola,Crunchy and flavorful mix of oats and honey.,litro,4.79
832,Car Vacuum,Portable car vacuum cleaner with strong suction.,cm,49.99
833,Bodyweight Resistance Bands,Set of resistance bands for strength training at home.,cm,22.99
834,Smart WiFi Plug,Control appliances remotely using your smartphone.,m2,19.99
835,Classic White T-Shirt,A timeless wardrobe staple crafted from soft cotton with a perfect fit.,pulgadas,19.99
836,Almond Joy Bars,Chocolate-covered candy bars with coconut and almonds.,litros,1.29
837,Savory Pumpkin Soup,Creamy pumpkin soup with spices,km,3.89
838,Egg Noodles,"Wide egg noodles, perfect for casseroles and soups.",pulgadas,2.29
839,Spicy Salsa Verde,"Green salsa with a spicy kick, great for dipping.",m2,3.49
840,Whole Wheat Pita Bread,"Soft and fluffy whole wheat pita bread, great for wraps.",km,2.79
841,Camera Lens Cleaning Kit,Complete cleaning kit for camera lenses.,pulgadas,14.99
842,Kids' Dinosaur-Themed Lunchbox,Fun lunchbox for kids with a sturdy design.,m2,19.99
843,Kid's Fruit Snacks,Assorted fruit-flavored gummy snacks that kids love.,km,2.49
844,Dark Chocolate Covered Almonds,Roasted almonds dipped in rich dark chocolate.,cm3,7.19
845,Athletic Jogging Jacket,Designed for comfort and performance during workouts.,km,49.99
846,Fitness Foam Roller,High-density foam roller for muscle recovery.,m2,29.99
847,Cocktail Shaker and Mixing Glass Set,Complete set for mixing cocktails at home.,litros,39.99
848,Fitness Activity Journal,Journal to record workouts and nutrition.,km,14.99
849,Board Game Storage,Organize your board games with this storage bin.,litros,19.99
850,Window Bird Feeder,Suction cup bird feeder for close-up bird watching.,m2,19.99
851,Noise-Canceling Earbuds,Wireless earbuds designed for immersive sound experience.,cm,79.99
852,Electric Stir Fry Pan,Large stir fry pan with non-stick surface.,pulgadas,49.99
853,Ceramic Planter Set,Set of decorative ceramic planters for indoor plants.,km,39.99
854,Over-The-Door Shoe Organizer,Space-saving shoe organizer for tight spaces.,m2,25.99
855,Magnetic Phone Case,Stylish case with magnetic closure for smartphones.,cm3,19.99
856,Chocolate Fudge Ice Cream,Rich and creamy chocolate fudge ice cream for dessert.,cm,5.99
857,Garden Vegetable Soup,"A hearty soup filled with vegetables and herbs, perfect for a light meal.",cm,3.29
858,Pizza Stone,Ceramic pizza stone for homemade pizzas.,litro,29.99
859,Thai Green Curry Paste,A rich curry paste for making authentic Thai green curry at home.,cm3,2.49
860,Motion Sensor Light,Battery-operated motion sensor light for safety.,km,19.99
861,Fresh Lemons,Citrusy lemons perfect for drinks and cooking.,cm,0.75
862,Classic Cheeseburger Mix,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",cm,5.49
863,Portable Pet Stroller,Convenient stroller for pets to enjoy outdoor walks.,pulgadas,89.99
864,Wall-Mounted Bookshelf,Floating bookshelf to display your favorite books.,litros,39.99
865,Electric Pressure Washer,Powerful electric pressure washer for deep cleaning.,pulgadas,199.99
866,Cheddar & Bacon Potato Skins,Gourmet potato skins loaded with cheddar cheese and bacon.,cm,7.49
867,Maple Oatmeal,Delicious maple-flavored oatmeal for a quick breakfast.,litro,2.99
868,Teriyaki Chicken Bowl,Ready-to-eat chicken bowl with teriyaki sauce and rice.,m2,6.49
869,Cat Tree with Scratching Posts,Multi-level cat tree for play and scratching.,cm,79.99
870,Spinach and Feta Stuffed Chicken Breast,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",litro,8.99
871,Stuffed Bell Peppers,Bell peppers stuffed with rice and vegetables,litro,5.99
872,Sliced Bell Peppers,Fresh sliced bell peppers for salads or stir-fries.,cm3,3.99
873,Ranch Dressing,"Creamy ranch dressing, perfect for salads and dips.",pulgadas,2.59
874,Blue Corn Tortilla Chips,"Crunchy chips made from blue corn, perfect for dipping.",pulgadas,3.49
875,Vegan Chickpea Salad,"Healthy salad made with chickpeas, vegetables, and a lemon dressing.",cm3,3.99
876,Vegetable Broth,Rich vegetable broth for soups and stews.,km,2.29
877,Almond Butter Cookies,Soft cookies made with almond butter,cm3,4.49
878,White Rice,"Plain white rice, a staple for any meal.",km,1.49
879,Watercolor Set,Complete watercolor set with paints and brushes.,m2,19.99
880,Organic Baby Spinach,"Fresh baby spinach leaves, great for salads and smoothies.",litros,2.99
881,Mini Waffle Maker,Compact waffle maker for perfect small waffles.,litros,24.99
882,Mini Projector for Smartphones,Compact and portable projector for watching videos anywhere.,m2,99.99
883,Spicy Thai Coconut Soup,"A ready-to-eat soup with coconut milk, spices, and vegetables.",litros,3.99
884,Silicone Baking Cups,Set of reusable baking cups for muffins and cupcakes.,km,10.99
885,Trail Mix (Deluxe),"A delightful mix of nuts, fruit, and chocolate.",cm3,4.59
886,Quinoa & Black Bean Salad,A nutritious salad with quinoa and black beans,litros,7.49
887,Savory Breakfast Sausage,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",litros,6.49
888,Lemon Garlic Shrimp,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling.",litro,8.99
889,Camping Lantern,Rechargeable LED camping lantern for outdoor use.,litro,34.99
890,Spicy Avocado Salsa,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",m2,4.49
891,Sesame Garlic Stir-Fry Sauce,A flavorful sauce for stir-frying vegetables and meats.,cm3,2.79
892,Leather Biker Jacket,Stylish black leather jacket featuring a zip-up front and multiple pockets.,cm3,129.99
893,Gardening Tools Set,Complete set of gardening tools for outdoor tasks.,litro,45
894,Personal Safety Alarm,Compact alarm for personal safety and security.,litro,12.99
895,Pineapple Rings,Delicious canned pineapple rings for desserts or salads.,pulgadas,2.49
896,Smartphone Hand Grip,Sturdy grip to hold your phone securely while taking selfies.,cm,9.99
897,Organic Baby Spinach,"Fresh baby spinach leaves, great for salads and smoothies.",cm,2.99
898,Oatmeal Raisin Cookies,Delicious cookies packed with oats and raisins.,litros,3.49
899,Canvas High-Top Sneakers,Trendy high-top canvas sneakers for a stylish streetwear look.,m2,49.99
900,Maple Breakfast Sausage,Savory sausage links with a hint of maple flavor.,litro,5.99
901,Classic Caesar Dressing,Rich and creamy Caesar dressing for salads and wraps.,km,3.49
902,Vegan Tacos,Frozen vegan tacos filled with plant-based protein and spices.,cm,7.49
903,Electric Razor,Rechargeable electric razor for a smooth shave.,litros,59.99
904,Buffalo Cauliflower Wings,Crispy cauliflower bites tossed in spicy buffalo sauce.,cm3,6.99
905,Whole Wheat Pasta,Nutritious and hearty pasta made from whole wheat flour.,cm3,2.49
906,Organic Almonds,"Crunchy and nutritious almonds, perfect for snacking.",litro,8.99
907,Popcorn Chicken,"Crispy chicken bites, perfect for dipping.",cm,6.49
908,Electric Griddle with Removable Plates,Non-stick surface for easy cooking and cleaning.,litros,59.99
909,Reclining Camping Chair,Foldable reclining camping chair with cup holder.,m2,49.99
910,Elderberry Syrup,Natural elderberry syrup to boost immunity.,litro,11.99
911,Vegetable Fried Rice,Quick and easy fried rice mixed with vegetables and soy sauce.,cm,4.99
912,Canned Black Beans,"Delicious and hearty black beans, great for soups or salads.",cm,1.29
913,Samoas Cookie Mix,Baking mix to create your favorite Samoa-style cookies at home.,km,5.59
914,Portable Refrigerator Freezer,Compact fridge ideal for camping and road trips.,km,299.99
915,Coconut Chips,"Crunchy, toasted coconut chips for snacking.",cm,3.59
916,Natural Fruit Snacks,"Healthy fruit snacks, made with real fruit.",pulgadas,3.99
917,Herbed Mushroom Risotto,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course.",cm,5.49
918,Slim Fit Chinos,Comfortable slim fit chinos for a polished look.,cm3,54.99
919,Marinara Sauce,Classic marinara sauce for all pasta dishes.,litros,3.49
920,Tea Infuser Bottle,Bottle with infuser for brewing loose-leaf tea on the go.,pulgadas,19.99
921,Sriracha Honey Glaze,"A spicy glaze made with sriracha and honey, perfect for meats.",cm3,3.59
922,Compressible Packing Cubes,Organizational cubes for easy packing and travel.,km,29.99
923,Italian Sausage and Peppers,A flavorful blend of Italian sausage with sautéed peppers and onions.,cm3,8.99
924,Self-Cleaning Cat Litter Box,Automated litter box that cleans itself after each use.,litro,199.99
925,Foot Massager Machine,Electric foot massager for relaxation and relief.,pulgadas,59.99
926,Foam Roller for Muscle Recovery,Use this foam roller for effective post-workout recovery.,cm3,29.99
927,Savory Trail Mix,"A blend of nuts, seeds, and spices for a healthy snack.",cm3,4.29
928,LED Camping Lantern with USB Charging,Rechargeable lantern with multiple brightness settings for outdoors.,litro,34.99
929,Sea Salt Tortilla Chips,"Crunchy tortilla chips with a hint of sea salt, great with dips.",pulgadas,2.49
930,Pasta Maker Machine,Manual pasta maker for creating fresh pasta at home.,m2,59.99
931,Frozen Hash Browns,"Shredded potatoes, perfect for breakfasts.",m2,2.99
932,Honey Graham Crackers,Sweet and crunchy honey-flavored graham crackers.,litro,3.29
933,Heated Throw Blanket,Soft blanket that provides warmth with adjustable settings.,litro,49.99
934,Cheese Stuffed Jalapenos,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",m2,5.99
935,Throw Pillow Covers,Set of decorative pillow covers to enhance your home decor.,m2,22.99
936,Pasta Maker,Manual pasta maker for homemade pasta.,cm3,39
937,Scented Candle Set,Set of soothing scented candles for relaxation and ambiance.,m2,24.99
938,Camera Tripod,Sturdy camera tripod for professional photography.,km,49.99
939,Chocolate Fudge Ice Cream,Rich and creamy chocolate fudge ice cream for dessert.,pulgadas,5.99
940,Travel Shoe Bags Set,Set of breathable bags for organizing shoes while traveling.,cm,15.99
941,Caraway Rye Bread,Artisan bread with caraway seeds for added flavor.,km,4.79
942,Elderberry Syrup,Natural elderberry syrup to boost immunity.,litro,11.99
943,Whipped Cream Cheese,"Light and fluffy cream cheese, perfect for bagels or cooking.",cm,2.99
944,Beef Chili,"Hearty beef chili, ready to heat and eat.",pulgadas,4.5
945,USB-C Hub,Multi-port USB-C hub for connecting devices.,m2,39.99
946,Sliced Cucumbers,"Freshly sliced cucumbers, great for salads or snacking.",cm,1.29
947,Roasted Garlic Aioli,Flavored aioli made with roasted garlic,cm,3.79
948,Organic Almonds,"Crunchy and nutritious almonds, perfect for snacking.",km,8.99
949,Coconut Lime Rice,"Flavorful rice mixed with coconut and lime, a tropical side dish.",litro,2.99
950,Dark Chocolate Bars,"Rich dark chocolate bars, perfect for a sweet treat.",m2,2.99
951,Mediterranean Flatbread,"Artisan bread topped with olives, feta, and herbs, perfect for sharing.",pulgadas,3.5
952,Cucumber Lime Sparkling Water,Refreshing sparkling water with cucumber and lime flavor.,litro,1.49
953,Garlic Herb Grilled Chicken,Marinated grilled chicken breasts seasoned with garlic and herbs.,cm,8.99
954,Portable Solar Path Lights,Eco-friendly solar lights for pathways and gardens.,pulgadas,39.99
955,Electric Fondue Pot,Set for making fondue at home.,cm3,39.99
956,Classic Black Trousers,Timeless black trousers for a smart and sophisticated look.,km,54.99
957,Peanut Butter Granola,Crunchy granola full of peanut butter flavor and oats.,litro,4.99
958,Peanut Butter Filled Pretzels,Salty pretzels filled with creamy peanut butter.,litro,3.99
959,Motion Sensor Light,Battery-operated motion sensor light for safety.,litros,19.99
960,Digital Camera,Compact digital camera with 20MP resolution.,litro,299.99
961,Spicy Thai Chili Sauce,A sweet and spicy sauce for dipping or cooking.,litro,3.29
962,Organic Sweet Potatoes,"Fresh and organic sweet potatoes, ideal for roasting.",litros,1.99
963,Ricotta Cheese,"Creamy ricotta cheese, great for cooking or making desserts.",cm3,4.99
964,Chocolate Dipped Fruit,"Fruits dipped in rich chocolate, perfect for desserts.",km,5.99
965,Non-Toxic Crayons for Kids,Safe and vibrant crayons for children's art projects.,litros,10.99
966,Non-Toxic Crayons for Kids,Safe and vibrant crayons for children's art projects.,cm3,10.99
967,Smart Thermostat,Wi-Fi enabled thermostat for energy-saving temperature control.,litro,149.99
968,Smart Wi-Fi Camera,Indoor Wi-Fi camera for home security.,litro,89.99
969,Granola Bars,"Crispy and chewy granola bars, perfect for on-the-go.",litros,4.99
970,Laptop Stand,Adjustable laptop stand for better ergonomics.,cm3,29.99
971,Biodegradable Phone Case,Eco-friendly phone case designed to decompose safely.,km,23.99
972,Cranberry Orange Oatmeal,Instant oatmeal flavored with cranberries and orange zest for breakfast.,litro,2.49
973,Strawberry Rhubarb Jam,"A sweet and tart jam, perfect on toast or in desserts.",litros,4.29
